ano_mes,faixa_etaria,obitos,perc_obitos_mensais
2021-1,Até 49,14,11.5702479338843
2021-1,50-59,13,10.7438016528926
2021-1,60-69,23,19.0082644628099
2021-1,70-79,25,20.6611570247934
2021-1,80-89,27,22.3140495867769
2021-1,>=90,19,15.702479338843
2021-1,total,121,100
2021-2,Até 49,3520,11.6152450090744
2021-2,50-59,3898,12.8625639333443
2021-2,60-69,6777,22.3626464279822
2021-2,70-79,7717,25.4644448110873
2021-2,80-89,6250,20.623659462135
2021-2,>=90,2143,7.07144035637684
2021-2,total,30305,100
2021-3,Até 49,6412,12.7030668040257
2021-3,50-59,6849,13.5688247880181
2021-3,60-69,11512,22.8068785165227
2021-3,70-79,12717,25.1941516760441
2021-3,80-89,9800,19.4151676044061
2021-3,>=90,3186,6.31191061098344
2021-3,total,50476,100
2021-4,Até 49,17221,14.4606134907506
2021-4,50-59,18188,15.2726112403329
2021-4,60-69,28970,24.326344162769
2021-4,70-79,29835,25.0526916843705
2021-4,80-89,19360,16.2567491539941
2021-4,>=90,5515,4.63099026778292
2021-4,total,119089,100
2021-5,Até 49,33233,16.0276443467022
2021-5,50-59,35127,16.9410845535043
2021-5,60-69,53408,25.7576634450296
2021-5,70-79,49086,23.6732449794548
2021-5,80-89,28465,13.7281285568223
2021-5,>=90,8029,3.8722341184868
2021-5,total,207348,100
2021-6,Até 49,41843,17.1428688484292
2021-6,50-59,44260,18.1331017190803
2021-6,60-69,61778,25.3101391324298
2021-6,70-79,54561,22.3533701512594
2021-6,80-89,32451,13.2950131921797
2021-6,>=90,9191,3.76550695662149
2021-6,total,244084,99.9999999999999
2021-7,Até 49,120028,38.3636601900476
2021-7,50-59,60876,19.4573447672988
2021-7,60-69,74797,23.9068108377628
2021-7,70-79,65733,21.0097516852101
2021-7,80-89,40561,12.9642118586373
2021-7,>=90,11750,3.75556542834221
2021-7,total,312869,100
