ranking-uf-pop,estado_nome_completo ,state,cod_uf,regiao,populacao,perc_pop_total,pais_comparavel_habitantes
1,São Paulo,SP,35,Sudeste,46289333,21.9, Espanha (46 439 864)
10,Santa Catarina,SC,42,Sul,7252502,3.4, Sérvia (7 114 393)
11,Maranhão,MA,21,Nordeste,7114598,3.4, Paraguai (7 003 406)
12,Goiás,GO,52,Centro-Oeste,7113540,3.4, Paraguai (7 003 406)
13,Amazonas,AM,13,Norte,4207714,2.0, Líbano (4 168 000)
14,Espírito Santo,ES,32,Sudeste,4064052,1.9, Líbano (4 168 000)
15,Paraíba,PB,25,Nordeste,4039277,1.9, Líbano (4 168 000)
16,Rio Grande do Norte,RN,24,Nordeste,3534165,1.7, Uruguai (3 415 866)
17,Mato Grosso,MT,51,Centro-Oeste,3526220,1.7, Uruguai (3 415 866)
18,Alagoas,AL,27,Nordeste,3351543,1.6, Uruguai (3 415 866)
19,Piauí,PI,22,Nordeste,3281480,1.6, Kuwait (3 268 431)
2,Minas Gerais,MG,31,Sudeste,21292666,10.1, Sri Lanka (20 675 000)
20,Distrito Federal,DF,53,Centro-Oeste,3055149,1.4, Lituânia (2 900 787)
21,Mato Grosso do Sul,MS,50,Centro-Oeste,2809394,1.3, Jamaica (2 717 991)
22,Sergipe,SE,28,Nordeste,2318822,1.1, Namíbia (2 280 700)
23,Rondônia,RO,11,Norte,1796460,0.8, Gabão (1 725 000)
24,Tocantins,TO,17,Norte,1590248,0.7, Bahrein (1 359 800)
25,Acre,AC,12,Norte,894470,0.4, Fiji (859 178)
26,Amapá,AP,16,Norte,861773,0.4, Fiji (859 178)
27,Roraima,RR,14,Norte,631181,0.3, Luxemburgo (562 958)
3,Rio de Janeiro,RJ,33,Sudeste,17366189,8.2, Países Baixos (16 922 900)
4,Bahia,BA,29,Nordeste,14930634,7.1, Chade (14 037 000)
5,Paraná,PR,41,Sul,11516840,5.4, Bolívia (11 410 651)
6,Rio Grande do Sul,RS,43,Sul,11422973,5.4, Bélgica (11 250 659)
7,Pernambuco,PE,26,Nordeste,9616621,4.5, Bielorrússia (9 485 300)
8,Ceará,CE,23,Nordeste,9187103,4.3, Emirados Árabes Unidos (9 157 000)
9,Pará,PA,15,Norte,8690745,4.1, Áustria (8 602 112)
